id_Encuesta;Identificación;Género;Tipo de Cliente;Edad;Tipo de Viaje;Clase;Distancia de Vuelo;Servicio de wifi a bordo;Hora de salida/llegada conveniente;Facilidad de reserva en línea;Ubicación de la puerta;Comida y bebida;Embarque en línea;Comodidad del asiento;Entretenimiento a bordo;Servicio a bordo;Servicio de espacio para las piernas;Manejo de equipaje;Servicio de facturación;Servicio a bordo;Limpieza;Retraso en la salida en minutos;Retraso en la llegada en minutos;Satisfacción
100;68873;Femenino;Desleal Cliente;36;Negocios Viaje;Eco;1061;2;2;2;1;4;2;4;4;1;4;2;4;2;4;13;0.0;neutral o insatisfecho/a
101;125701;Masculino;Leal Cliente;67;Personal Viaje;Eco;899;2;5;2;2;2;2;2;2;5;2;4;5;5;2;0;0.0;neutral o insatisfecho/a
102;94999;Femenino;Leal Cliente;38;Personal Viaje;Eco;293;4;4;4;4;5;4;5;5;2;2;4;4;4;5;5;0.0;satisfecho/a
103;56694;Femenino;Leal Cliente;50;Personal Viaje;Eco;1085;3;5;3;2;5;5;5;5;5;3;5;3;5;4;0;0.0;neutral o insatisfecho/a
104;62010;Masculino;Leal Cliente;50;Negocios Viaje;Business;2475;5;5;5;5;2;5;4;2;2;2;2;3;2;5;0;0.0;satisfecho/a
105;95868;Masculino;Leal Cliente;54;Negocios Viaje;Business;2544;5;5;3;5;5;4;5;3;3;3;3;4;3;5;62;66.0;satisfecho/a
106;123064;Masculino;Leal Cliente;56;Negocios Viaje;Business;2556;4;4;4;4;4;5;4;4;4;4;4;3;4;5;117;113.0;satisfecho/a
107;103418;Masculino;Leal Cliente;38;Personal Viaje;Eco;237;3;4;3;4;2;3;2;2;3;3;4;4;3;2;0;2.0;neutral o insatisfecho/a
108;73456;Femenino;Leal Cliente;7;Personal Viaje;Eco;1120;3;5;3;3;2;3;2;2;4;4;4;5;5;2;16;13.0;neutral o insatisfecho/a
109;8851;Femenino;Leal Cliente;32;Negocios Viaje;Business;2668;5;5;4;5;4;4;4;4;5;2;5;5;5;4;2;0.0;satisfecho/a
110;64241;Masculino;Leal Cliente;45;Negocios Viaje;Eco;1660;4;1;1;1;4;4;4;4;2;5;2;4;3;4;0;7.0;neutral o insatisfecho/a
111;81723;Masculino;Desleal Cliente;25;Negocios Viaje;Eco;1310;2;2;2;4;3;2;3;3;1;4;3;1;4;3;0;24.0;neutral o insatisfecho/a
112;88237;Femenino;Leal Cliente;45;Negocios Viaje;Business;2374;5;5;5;5;4;5;4;4;4;4;4;5;4;5;0;0.0;satisfecho/a
113;50619;Masculino;Leal Cliente;34;Personal Viaje;Eco;209;3;4;0;1;1;0;1;1;1;5;5;2;3;1;0;0.0;neutral o insatisfecho/a
114;54444;Masculino;Leal Cliente;20;Personal Viaje;Eco Plus;305;3;4;3;3;1;3;1;1;3;3;4;4;5;1;5;2.0;neutral o insatisfecho/a
115;64765;Femenino;Desleal Cliente;36;Negocios Viaje;Eco;247;2;1;2;3;1;2;1;1;4;1;3;1;2;1;16;6.0;neutral o insatisfecho/a
116;15941;Masculino;Desleal Cliente;36;Negocios Viaje;Eco;338;3;4;3;4;2;3;2;2;3;4;3;1;3;2;0;0.0;neutral o insatisfecho/a
117;14965;Masculino;Leal Cliente;27;Negocios Viaje;Business;3200;1;1;1;1;5;5;5;5;4;5;2;2;1;5;0;0.0;satisfecho/a
118;36897;Masculino;Leal Cliente;40;Personal Viaje;Eco;1368;3;4;2;4;3;2;3;3;4;2;3;3;4;3;0;0.0;neutral o insatisfecho/a
119;127954;Masculino;Leal Cliente;31;Negocios Viaje;Business;1999;4;5;4;4;5;5;5;5;4;4;4;3;4;5;0;4.0;satisfecho/a
120;27872;Masculino;Leal Cliente;25;Negocios Viaje;Eco Plus;680;0;5;0;2;1;0;1;1;3;1;4;5;5;1;0;0.0;satisfecho/a
121;35854;Masculino;Leal Cliente;42;Negocios Viaje;Business;537;2;2;2;2;1;5;3;5;5;5;5;4;5;3;0;0.0;satisfecho/a
122;14527;Femenino;Leal Cliente;45;Negocios Viaje;Eco;288;5;1;1;1;1;2;3;5;5;5;5;1;5;3;29;40.0;satisfecho/a
123;47021;Masculino;Leal Cliente;59;Personal Viaje;Business;639;2;1;2;3;4;3;3;3;3;2;3;2;3;1;0;11.0;neutral o insatisfecho/a
124;11224;Masculino;Leal Cliente;34;Personal Viaje;Eco;201;3;5;3;3;2;3;5;2;5;2;1;3;1;2;3;8.0;neutral o insatisfecho/a
125;3921;Femenino;Leal Cliente;22;Personal Viaje;Eco;213;3;5;3;4;3;3;1;3;1;5;1;3;2;3;0;17.0;neutral o insatisfecho/a
126;69463;Masculino;Leal Cliente;21;Personal Viaje;Eco;1096;2;2;2;4;2;2;3;2;3;1;3;2;4;2;0;0.0;neutral o insatisfecho/a
127;47050;Masculino;Leal Cliente;26;Negocios Viaje;Business;1680;3;1;1;1;3;3;3;3;1;2;4;2;3;3;27;10.0;neutral o insatisfecho/a
128;21970;Masculino;Leal Cliente;37;Negocios Viaje;Business;2401;2;2;2;2;5;3;1;4;4;4;4;1;4;5;94;86.0;satisfecho/a
129;30046;Masculino;Leal Cliente;38;Negocios Viaje;Business;2746;2;2;2;2;2;5;2;4;4;4;4;1;4;5;0;0.0;satisfecho/a
130;1256;Femenino;Leal Cliente;17;Personal Viaje;Eco;89;3;4;3;1;5;3;3;5;3;4;5;5;5;5;0;0.0;neutral o insatisfecho/a
131;73813;Masculino;Leal Cliente;15;Personal Viaje;Eco Plus;192;2;4;2;3;5;2;5;5;5;4;5;5;5;5;5;8.0;neutral o insatisfecho/a
132;110928;Femenino;Leal Cliente;53;Personal Viaje;Eco;404;3;3;3;4;4;4;4;5;5;3;5;1;5;2;0;0.0;neutral o insatisfecho/a
133;102981;Masculino;Desleal Cliente;39;Negocios Viaje;Business;546;4;4;4;4;2;4;2;2;3;5;5;3;4;2;93;88.0;neutral o insatisfecho/a
134;61571;Masculino;Leal Cliente;40;Negocios Viaje;Business;2400;4;3;4;4;2;4;5;5;5;5;5;3;5;3;0;0.0;satisfecho/a
135;3796;Femenino;Desleal Cliente;28;Negocios Viaje;Eco Plus;599;2;2;2;3;4;2;4;4;3;3;3;1;3;4;0;46.0;neutral o insatisfecho/a
136;73906;Femenino;Desleal Cliente;27;Negocios Viaje;Business;2342;3;3;3;4;2;3;2;2;4;3;5;3;5;2;10;0.0;neutral o insatisfecho/a
137;74090;Femenino;Leal Cliente;41;Negocios Viaje;Business;3046;5;5;5;5;3;5;5;4;4;4;4;4;4;5;0;0.0;satisfecho/a
138;76645;Femenino;Leal Cliente;7;Personal Viaje;Eco;516;2;4;2;3;5;2;5;5;5;4;5;5;4;5;0;0.0;neutral o insatisfecho/a
139;100462;Masculino;Desleal Cliente;48;Negocios Viaje;Business;759;3;3;3;2;2;3;2;2;4;2;5;4;5;2;2;1.0;neutral o insatisfecho/a
140;54164;Masculino;Leal Cliente;13;Negocios Viaje;Eco;1400;2;1;1;1;2;1;2;2;4;3;3;3;4;2;0;0.0;neutral o insatisfecho/a
141;6147;Femenino;Leal Cliente;48;Negocios Viaje;Business;491;3;3;3;3;4;4;4;4;4;4;4;3;4;5;0;0.0;satisfecho/a
142;1262;Femenino;Leal Cliente;49;Personal Viaje;Eco;134;3;3;3;3;5;3;3;4;4;3;4;1;4;4;8;3.0;neutral o insatisfecho/a
143;20310;Masculino;Desleal Cliente;26;Negocios Viaje;Business;900;5;5;5;3;1;5;1;1;4;3;5;5;5;1;5;0.0;satisfecho/a
144;46896;Masculino;Leal Cliente;22;Negocios Viaje;Business;3648;2;2;2;2;3;3;3;3;2;4;3;5;3;3;0;0.0;satisfecho/a
145;7237;Femenino;Leal Cliente;53;Negocios Viaje;Business;3769;3;1;5;1;1;3;1;2;4;3;4;1;2;1;180;178.0;neutral o insatisfecho/a
146;44293;Femenino;Leal Cliente;43;Negocios Viaje;Eco;563;4;4;4;4;3;5;5;4;4;4;4;5;4;5;0;0.0;satisfecho/a
147;52496;Masculino;Leal Cliente;56;Negocios Viaje;Business;3131;1;1;1;1;2;5;4;4;4;4;5;4;4;5;0;0.0;satisfecho/a
148;68263;Femenino;Leal Cliente;69;Personal Viaje;Eco;631;3;5;2;5;3;3;4;5;5;2;5;1;5;1;0;0.0;neutral o insatisfecho/a
149;5289;Masculino;Leal Cliente;59;Personal Viaje;Eco;351;4;3;4;4;1;4;1;1;1;5;4;2;4;1;0;0.0;satisfecho/a
150;109359;Femenino;Leal Cliente;56;Negocios Viaje;Business;1189;5;5;3;5;5;4;5;2;2;2;2;4;2;3;9;0.0;satisfecho/a
151;94988;Masculino;Leal Cliente;11;Personal Viaje;Eco;562;5;5;5;5;3;5;3;3;4;4;5;1;2;3;0;0.0;satisfecho/a
152;53605;Femenino;Leal Cliente;25;Negocios Viaje;Eco;1874;4;3;3;3;4;4;3;4;3;1;4;5;1;4;86;78.0;satisfecho/a
153;11005;Femenino;Desleal Cliente;29;Negocios Viaje;Eco;158;4;0;4;1;2;4;2;2;1;5;2;2;2;2;0;0.0;satisfecho/a
154;14794;Femenino;Leal Cliente;48;Negocios Viaje;Eco;95;5;3;3;3;1;2;1;5;5;5;5;1;5;2;0;0.0;satisfecho/a
155;49480;Femenino;Leal Cliente;42;Negocios Viaje;Business;266;1;1;1;1;4;3;4;4;4;4;4;2;4;1;0;0.0;satisfecho/a
156;120440;Masculino;Desleal Cliente;15;Negocios Viaje;Eco;449;1;4;1;2;3;1;4;3;1;3;5;4;5;3;0;0.0;neutral o insatisfecho/a
157;55823;Femenino;Desleal Cliente;49;Negocios Viaje;Business;1416;3;4;4;2;2;3;2;2;4;2;5;5;4;2;0;0.0;neutral o insatisfecho/a
158;107792;Masculino;Leal Cliente;41;Negocios Viaje;Business;2388;2;2;2;2;5;5;4;4;4;4;4;5;4;5;29;18.0;satisfecho/a
159;80531;Masculino;Leal Cliente;43;Negocios Viaje;Business;1678;1;1;2;1;3;4;4;2;2;2;2;4;2;5;0;0.0;satisfecho/a
160;128145;Masculino;Leal Cliente;60;Negocios Viaje;Business;1972;5;5;2;5;4;3;5;5;5;5;5;5;5;3;0;0.0;satisfecho/a
161;63370;Femenino;Leal Cliente;42;Personal Viaje;Eco;337;4;1;4;3;3;3;3;3;3;4;1;2;3;2;0;0.0;satisfecho/a
162;12452;Femenino;Leal Cliente;8;Personal Viaje;Eco;253;3;3;3;1;4;3;4;4;5;5;2;4;3;4;0;0.0;neutral o insatisfecho/a
163;16145;Femenino;Leal Cliente;42;Negocios Viaje;Eco;212;5;3;3;3;5;3;5;5;5;5;5;5;5;2;82;72.0;satisfecho/a
164;44418;Masculino;Desleal Cliente;18;Negocios Viaje;Eco Plus;342;1;1;1;3;3;1;3;3;2;1;4;1;3;3;32;41.0;neutral o insatisfecho/a
165;95746;Masculino;Leal Cliente;47;Negocios Viaje;Business;3556;2;2;2;2;3;5;3;5;5;5;5;3;5;4;0;0.0;satisfecho/a
166;41134;Femenino;Desleal Cliente;27;Negocios Viaje;Eco;191;4;4;4;4;5;4;5;5;2;1;3;2;3;5;16;12.0;neutral o insatisfecho/a
167;3214;Femenino;Leal Cliente;67;Personal Viaje;Eco Plus;693;3;1;3;1;5;1;2;1;1;3;1;1;1;4;100;91.0;neutral o insatisfecho/a
168;74101;Masculino;Desleal Cliente;38;Negocios Viaje;Business;641;5;5;5;3;2;5;2;2;5;5;4;3;5;2;0;0.0;satisfecho/a
